,Comment
1385,Chẳng hay tẹo nào
1386,Ko biết hát gì nữa botay
1387,"Hát như beep ấy, chả ra gì"
1388,Ai ghét con Linh Ka dơ tay
1389,BTS là Fake Love còn đây là Phịch cả lớp
1390,"M im đi m im đi đừng hát nữa ,chỉ lm tao mắc ói mà thôi ,m im đi m im đi trước khi tao cho dislike"
1391,Dep gai nhưng hat dõ quá.minh gop j thoi.linka hat lac thông giong hat ko có cam xuc j het
1392,"Nếu chị thay bài hát của BTS 
Nếu cả thế giới quay lưng với chị em sẽ xách dép chạy theo cả thế giới 
Nếu chị thay bài hát của BLACKPINK MoMoland 
Nếu cả thế giới quay lưng với chị em sẽ xách dép chạy theo cả thế giới
Xin chị đưng làm hỏng bài hát của idol mọi người nhé
Hỏng cả bài hát của idol tôi rùi"
1393,Army nói gian len di no dam bảo cua bts kia
1394,"2 từ thôi ""THẢM HỌA"""
1395,Dịt sai rồi
1396,Xem lại vẫn buồn cười 😁
1397,"ô nhiễm luôn bài hát của nguoi ta rôi 
đm linhka"
1398,-Đừng hiếp dâm tai tao :>>
1399,Đừg nói linh ka hát dở càng nghe sẽ như lozzzzz
1400,Đậu...nghe xong hôm sau mình bị sốt cnmr luôn...
1401,"like thì ít dislike thì nhiêu 


hhhhhhhhh"
1402,Cung hay ma sau khong co tren zing vay 🤔🤔🤔
1403,Muốn ARMY ko văng tục vậy thì xóa mv cover này đi là mọi chuyện sẽ trở lại như lúc  đầu ko có ai chửi ai cả. Ok
1404,2:44 anh trai????
1405,Fake love đi nới là phê cần lớp
1406,Nghe ung thư lỗ tai VL
1407,Hay quá😊😊
1408,Đứa nào vào để dislikes rồi đi ra như tao không? :)))
1409,3:23 châm sứa
1410,Chờ đón 400N dislike
1411,Nghe xong quen mẹ bản gốc luôn ai ghét linh ka thì cho mình một like nha
1412,Linh ka ngày nào cũng mút chim tao
1413,t kh phải A.M.R.Y mà nghe x thấy tội Bangtan của tụi bây quá :(
1414,May gọi hồn tao hả
1415,AI dislike dơ tay✋
1416,"Mình thấy linh ka hát hay mà,"
1417,Khúc đầu phê cần lá
1418,"Nó hát ""fake love"" mà tôi nghe nó hát fucking love :D"
1419,Tặng chị em một dislike
1420,3:56 nhìn gái àk về chết vs bà 😂😂😂
1421,BTS hát hay như thế mà nó cover lại như một cục c*t😏😏
1422,#linkcc
1423,nghe quảng cáo điện máy xanh còn hay hơn
1424,Như loz á hát làm phá mẹ nhạc gốc
1425,Chữ fake love của người ta thì hát nhanh đúng nhịp còn ở đây thì ..... khỏi nói chắc các bạn cũng biết mình nghĩ gì trong đầu mình rồi nhỉ 😑😑😐😐
1426,Lm mất mặt VN quá
1427,Ai vô cái là dislike giống tui ko😆😆
1428,"Đó chỉ là anh giai nuôi của e hoi a à😂😂, Lời viết lại kh hay gì hết, kh hợp với giai điệu, hát kh ra hơi luôn...Thật là ba chấm"
1429,không biết thì đừng có chế.
1430,Nghe cái này xong ám ảnh vãi
1431,Ôi thánh thần thiên địa ơi! Cái bài siêu phẩm của anh nhà tao mà chị ấy phá nhanh như vậy sao? Dù sao cũng cố lên sắp 400N dislike rồi kìa! Để em ủng hộ 1 dislike
1432,3:40 lời vs khẩu hifnh miệng nó hơi hơi s s ấy 😂😂
1433,Em xinnnnnnnnn.......!!!!!!! Chị tránh xa BTS hộ em !!!!
1434,"BTS hát hay bài này 
Linh ka như quần què"
1435,Phịch cả lớp 🤣🤣
1436,Ôi chùi  ôi dislike khủng  thật
1437,Phá bản hit của idol tao rồi
1438,Truyền thuyết kể rằg nếu con này hát thì dislike nhìu hơn like
1439,Tại sao ghét linh ka vậy ạ
1440,Hát dở tệ lu  ko ngờ đây là fakelove lun ý
1441,bài của bts mà đem ra lm trò đùa
1442,Mày định mượn sự nổi tiếng của các anh để kiếm lời cho bản thân à .Mơ đi con mày làm vậy A.R.M.Y chỉ ghét mày thêm thôi tự vươn lên bằng chính thực của mk như các anh mới là đáng là 1 idol hàng đầu hiểu chưa .Kết luộn : ai ghét con linh ka thì bấm👍  nha .
1443,Phê cá lóc... Phê cá lóc... nghe giống Fucking Love 😂😂😂
1444,"Thề luôn anh này mà chăm chút bề ngoài tí, nặn hết mụn, là đẹp trai lắm luôn á, tại thấy a có nét sẵn rồi"
1445,Ngon quá ☺️
1446,Ko hiểu sao lai co những nguoi vào xem rồi chửi ngt nhung the. Ngt lam video. Minh thích thi xem ko thich thi thoi sao lai chửi ngt. Cùng la con người ma ko bt tôn trọng nhau j hết. Vao xem roi Bìh luận nhu nguoi vô hc. Hãy tôn trọng người khác và nghề nghiệp công việc cua ngt đi.
1447,Thanh niên này noi chuyện thật thà .có năng khieu
1448,"Anh làm video rất hay
Cho anh 1 like và 1 subscribe nha 😘"
1449,"chỉ một từ để miêu tả video này thôi "" THÈM ''"
1450,Chúc a thành công trong con đường sự nghiệp
1451,anh quay video con hoi chong mat
1452,Cố lên đi e trai. Ai chửi kệ họ. 9 người 10 ý. Sống cho bản thân chứ k sống cho tụi nó. Làm vì đam mê nên cứ theo đuổi. A cũng muốn làm 1 youtuber nhưng điều kiện và công việc hiện tại k thể làm đc. Chúc e thành công
1453,"E thấy a sống có tình nghĩa ghê luôn
Có hiếu với bố mẹ 
E ủng hộ a , cố lên a nhé"
1454,Anh choi game lien quan di
1455,Like cho a ý nha mn
1456,ham vai
1457,"Nhìn anh hơi giống B-ray, hơi giống  Tôn Ngộ Không teong Hoa du kí. Có nét soái ca😀"
1458,Oi them wa
1459,Ia deo rarara
1460,Giọng cute phô mai que lun
1461,di h xh nv xx
1462,ntn con chui nua ban qua di
1463,Nhìn mặt ông ăn ngon wua y chang PHÊ đá :3
1464,30-4-2019 ai còn xem
1465,Xem video của bạn thì thấy rất tự nhiên k có vẻ giả tạo j cả
1466,"Em mặc áo dài tay, anh mặc áo ngắn tay"
1467,Nhin anh an nhin chay ca nuoc mieng ai dong y diem danh
1468,ngon qua di ak
1469,Link : choaac.com /hppt/...
1470,Lm video j lien quan toi world cup Đi a
1471,Thèm
1472,Thèm Quá Nguyên Ơi :))
1473,Ko thích video cút đừg sủa đúg mjk xin like
1474,"Em chỉ muốn anh thấy cờ men đc rồi 
Fan anh"
1475,ngon nhỉ =))
1476,Tui ko thèm nhá. Chỉ là k sao cho nước miếng ngưng chảy thui
1477,Nhìn ngon vãi
1478,Ngon thế
1479,Ngon thế
1480,Hay pha anh oi
1481,Hèm chãi nuoc mieng
1482,them qua
1483,"cố gắng lên bạn nhé , còn nhỏ làm ytb như vậy là quá thành công rồi , bạn cũng nhiệt tình thả tym cmt nữa , mặc kệ bao nhiêu người chê bai , soi mói vì họ đâu hơn bạn . con người đâu phải ai là hoàn hảo ? mình rất nể và luôn ủng hộ bạn !!"
1484,Ai fan món này điểm danh
1485,Ăn với
1486,"Âm thanh , âm nhạc thì A Nguyên lm rất hợp lý và rất hay ^_^"
1487,anh vu liz rap ve anh day
1488,Nhìn thôi cũng chảy nước miếng 👅
1489,Ngon quá cho xin 1mieng Em ơi
1490,"1,5 tr view gắt"
1491,Có sửu nhi mới vô kênh người ta mà chửi thôi
1492,Like cai nao
1493,nhien anh an ma them
1494,nhin mat tom v
1495,An tat ca may so
1496,Bao nhiêu tiền vậy ah
1497,Anh làm pizza khổng lồ đi
1498,Ngon quá anh ha
1499,Ngon qué
1500,Nghìn like
1501,A nhìu tiên wa
1502,ANH BI BEDE
1503,Cho xin link nhạc ạ
1504,Hi anh
1505,Nướng gà =100000 que diêm đi a
1506,nhin ngon
1507,hay púa anh
1508,cho em voi
1509,Chăm chút mình xíu dii
1510,A ở âu z
1511,nguyen hoc lop may
1512,Them qua di
1513,An giong cho chet doi
1514,Hay them vai
1515,Cho an vs
1516,Fly a way
1517,Đồ ăn nhìn ngon quá
1518,ngon v
1519,Gấu e bn t v a
1520,an co mot ti ma gioi la thu thach
1521,Ngon va  bo So1$
1522,Ság mà ăn ngon vậy anh. À anh ở đâu v
1523,Thèm vcl
1524,😳😳🤤🤤🤤🤤
1525,thu thanh anh an chanh 1kg
1526,Hay. Qua
1527,Lúc nhỏ lớp 3 lớp 4 cứ hoàng thán chiên xúc xích chiên đủ loại (mẹ cho con mấy chục mua ăn)...:))
1528,Quan nuong nay o đau day p oi
1529,Mong nhận đc tim của a
1530,Thu an tat ca loai do chua di
1531,Anh may tuoi rui
1532,Vào bếp làm thử pizza mì gói đi anh
1533,An uong do dai
1534,Cho em môt cay
1535,Ngon wa a ơi
1536,Ngon vc
1537,Chuc mung anh duoc 100 k dang ki nhé 😁😁😁😁😁😁😁😁😁🏁🏁🏁🏁🏁🏁🏁🏁🏁
1538,Nhinh ngon ge
1539,Tôi thèm 😄
1540,Them qua
1541,#1000000triệusud
1542,Coi lại lần n :))
1543,Thèm qá àk
1544,Ngon vl
1545,Nhìn mà phát thèm quá
1546,Nhin ma phat them
1547,Nước miếng chảy dòng dòng
1548,cho em m
1549,Co tien tra hong an du da gd
1550,em thanh by
1551,Phimden.net
1552,Cho 1 like bởi vì k làm mặt nhăn nheo ngáo như trc nữa
1553,Thả tym a ơi
1554,Ngon quá
1555,🤤🤤🤤
1556,Cho an v
1557,phải like mới được 😃😃😃
1558,Thèm mà không đc ăn 😢😢😢
1559,Bn ở đâu thêz
1560,Deamn
1561,Nho tui khong !xem ong 24/24 ne
1562,Ngon vai
1563,Mat day mun
1564,siêu ngon
1565,cute ghê :))))
1566,nhìn anh ăn mà em tốn cả đống nước miếng
1567,Ah nguyen oi ah lm clip thu thach 24h choi game ik ah ai theo y cua tui
1568,Ngon quớ..🤤
1569,Thèm wa
1570,em se like cho anh
1571,Khổ thân làm video cũng bị chửi coi thì coi k coi thì thui làm gi phải chửi họ
1572,Ngon wá 😋
1573,Ngon quaaaaaaaaaaaa
1574,Sao thấy lúc đầu anh uống sinh tố ống hút màu tìm mà sao tới lúc ăn đồ nướng thì thấy anh lại uống sinh tố màu vàng ai thấy đứng cho mk 1 like
1575,Ngon vc ╭(╯^╰)╮╭(╯^╰)╮╭(╯^╰)╮(╯﹏╰）(╯﹏╰）
1576,Theo giỏi từ Fb qua youtup  k Tl  1 cmt  :(
1577,Anh gê
1578,Ngon vl
1579,Ai đo cho toi voi
1580,Nhìn a ăn thèm kinh <3 Mãi ủng hộ a<3
1581,Thèm v
1582,❤❤❤
1583,Bạn nên nói nhìu hơn khi làm vlog về ăn uống như cảm nhận món này ra sao ngon hay dở mog bạn rút kinh nghiệm lần sau
1584,💞
1585,A Thiệu làm video hay quá
1586,"Nhìn chảy cả nước miếng.  Mẹ mua cho con nha 😍🌾🐸🐸🌾🐸🐸🌾
🐸🐸🐸🐸🐸🐸🐸
🐸🐸🐸🐸🐸🐸🐸
🌾🐸🐸🐸🐸🐸🌾
🌾🌾🐸🐸🐸🌾🌾
🌾🌾🌾🐸🌾🌾🌾
🍀💖💖🍀💖💖🍀
💖💖💖💖💖💖💖
💖💖💖💖💖💖💖
🍀💖💖💖💖💖🍀
🍀🍀💖💖💖🍀🍀
🍀🍀🍀💖🍀🍀🍀
💧💔💔💧💔💔💧
💔💔💔💔💔💔💔
💔💔💔💔💔💔💔
💧💔💔💔💔💔💧
💧💧💔💔💔💧💧
💧💧💧💔💧💧💧
✨🌟💗🌟💜🌟✨
🌟💗💜💜💜💜🌟
🌟💗💜💜💜💜🌟
🌟✨💜💜💜✨🌟
🌟✨✨💜✨✨🌟
✨🐬✨🐬✨🐬✨
🌊🌊🌊🐬🌊🌊🌊
💍🌹🌹💍🌹🌹💍
🌹🌹🌹🌹🌹🌹🌹
🌹🌹🌹🌹🌹🌹🌹
💍🌹🌹🌹🌹🌹💍
💍💍🌹🌹🌹💍💍
💍💍💍🌹💍💍💍
🔥💋💋🔥💋💋🔥
💋💋💋💋💋💋💋
💋💋💋💋💋💋💋
🔥💋💋💋💋💋🔥
🔥🔥💋💋💋🔥🔥
🔥🔥🔥💋🔥🔥🔥
Miss you so much!
🌴🐼🐼🌴🐼🐼🌴
🐼🐼🐼🐼🐼🐼🐼
🐼🐼🐼🐼🐼🐼🐼
🌴🐼🐼🐼🐼🐼🌴
🌴🌴🐼🐼🐼🌴🌴
🌴🌴🌴🐼🌴🌴🌴
🔥💋💋🔥💋💋🔥
💋💋💋💋💋💋💋
💋💋💋💋💋💋💋
🔥💋💋💋💋💋🔥
🔥🔥💋💋💋🔥🔥
🔥🔥🔥💋🔥🔥🔥
Miss you so much!
✨✨🌸🌸🌸✨✨
✨✨✨🌸✨✨✨
✨✨✨🌸✨✨✨
✨✨🌸🌸🌸✨✨
🌸🌸✨✨🌸🌸✨
🌸✨🌸🌸✨✨🌸
🌸✨🌸🌸✨✨🌸
🌸🌸✨✨🌸🌸✨
🔫💥💥🔫💥💥🔫
💥💥💥💥💥💥💥
💥💥💥💥💥💥💥
🔫💥💥💥💥💥🔫
🔫🔫💥💥💥🔫🔫
🔫🔫🔫💥🔫🔫🔫
🔫🔫🔫💥🔫🔫🔫
👅"
1587,thèm quá
1588,thèm quá
1589,1 tym
1590,Càng ngày quay video càng hayyy
1591,😊😊😊😊😍😍😍😍😋😋😋😋😋
1592,🤤
1593,ngon quá 👍🤤🍗🍖🌭🍡🍤🍢🥤🥤
1594,❤
1595,Thèm chảy vãi r anh ơi
1596,Ngon quá anh!
1597,Ngon quá ha
1598,nhìn mà nước vải cứ tuôn quài clip rất là hay a nguyên hãy ra nhiu clip hơn nữa e ủng hộ a ok😉
1599,Them ghe.😢😢😢
1600,Nhin ngon qua ta
1601,trịu a
1602,"--------
Cho acc"
1603,A co bn gai chua a
1604,ngon vai ca chuong
1605,Ăn đồ nướng cũng được gọi là Thử Thách
1606,Thí chủ có chơi đá không?
1607,"nếu trắng + không mụn thì anh đẹp lắm đấy ạ 
 anh thử chăm da + làm hết mụn thử xem"
1608,"Em ở đó , buồn thiệt không được gặp anh 😣😵😡😱😠😭😨"
1609,😊Ra video ms đi a ☺
1610,Ngon quá anh ơi
1611,Sáng mà ăn hết đống này là no tới tối
1612,Thoi di hoc t hay an lam
1613,Cho xin info em áo trắng với.xăn em mãi
1614,xamxi
1615,Them qua
1616,Thèm wá
1617,Nhìn anh ăn mà thèm quá
1618,Ngon wá
1619,Xấu vl
1620,Anh ko biết ăn cay à? Em toàn thấy anh ăn tương đen thôi.
1621,Ad trị mụn đi cho đẹp trai còn làm video nữa😋e giúp đc nha
1622,Nhìn mặt thấy ghét quá muộn không là cái gì đen đen trên mặt nữa
1623,Anh tnn ăn phô mai que đi
1624,thèm quá anh ơi
1625,Http://choacc.vn/
1626,Ngon qué!!
1627,ân tat ca
1628,Nhìn anh này thấi nhớ anh 2 mình quớ ờ. Luôn ủng hộ những video của anhhhh 💕
1629,anh  ẹ quá anh ơi
1630,Ah làm clip hay quá ♥
1631,"Anh quay một clip giới thiệu phần mềm quay video nhoa😍
Mong anh chấp nhận"
1632,💖
1633,Em rât thich xem video cua anh
1634,😍😍e rất thích cách a ăn
1635,ân tat ca
1636,thang trau
1637,Hồi đó coi truyện ma thấy ăn nhiều thịt viên bị sáng ăn từ trong ruột ăn ra ấy 😃😃😃
1638,"Nhìn e hiền quá. Đúng là tuổi trẻ. 
Chỉ ước quay về thời học sinh.
Cố lên e nhé. Chúc e thành công. 
<3"
1639,ngon  ghe
1640,Tui củng ỡ mỹ long nè
1641,Ghét thì đừng có xem vô xem rồi chửi
1642,"Xem clip của e rất đơn giản dễ xem. Rất hay và hấp dẫn, e ở đâu vậy"
1643,Anh Nguyên Sống ở Cần Thơ hả anh em cũng Sống ở Cần Thơ Nè anh Nguyên !
1644,Cái miệng ăn theo phong cách quý sờ tộc mag
1645,~_~
1646,làm vid có đầu tư đó nhưng mặt mày hơi xấu chú ý chăm sóc tí là dc
1647,Ns thiệt là em rất là thik xem anh làm về đò ăn nhá s học xong là vô coi anh liền
1648,Ngon 😋
1649,Hello
1650,Wow
1651,Ở đâu ngon vậy nguyên mình củng ở đồng tháp chỉ mình với cho địa chỉ đi
1652,Quá ngon l
1653,"Trời ngon quá nhìn mà thèm ghê lun á
Giỏ nước miếng lun ròi 😘😘😘"
1654,Ăn xong rồi tắt máy quay rồi Hai người ngồi rửa chén
1655,Đồ ăn ven đường ko an toàn đâu. Hạn chế ăn và chỉ làm video vui thôi ae
1656,Thèm vãi
1657,😂😂😂
1658,Em thèm quá trời ơi
1659,"đéo thích xem video này







tôi tên đéo"
1660,Cái này mà là thử thách à mình tui ăn hết cái xe đó còn dc
1661,Cái này chắc anh ăn mấy lần r ms làm clip cho mn chứ nhỉ
1662,Vĩnh long là chỗ em tới đám giỗ mấy ngày nữa
1663,Bơ vơ
1664,em sẽ lun ủng hộ anh
1665,Wow
1666,"Có khi nào mình quay nó chụp cái đt mình đi luôn không
😂 😂 😂"
1667,Bây giờ mới biết đến kênh của bro này mà sao lên sup nhanh vl vậy
1668,tưởng choacc là cho acc ai ngờ ko phải mà là chợ acc huhu
1669,Hi video hay qua anh like
1670,Tuổi trẻ mà biết kiếm tiền giúp đỡ cha mẹ là em hơn nhiều người em ạ! Cố lên nhé
1671,anh có  tiền thì nên làm video nào có ý nghĩa hơn đi ạ
1672,E má có làm video dóg a ..thữ thách hả ..em ăn hết sạp 😊
1673,"-Anh ra nhiều video mới nữa Anh nha đừng quan tâm đến những lời nói cũa Họ.
-Em luôn ũng hộ Anh🌸."
1674,THỬ THÁCH KHÓ QUÁ HA :))
1675,💜
1676,"An thi an cham cham thoi ai 
Ma danh an cua may dâu tao không lai cho may dâu tranh cho"
1677,Em thách anh 24 giờ trong thùng xốp đó mong anh chấp nhận
1678,dcm người ta làm clip cũng mét chết cm cmt chửi người ts nữa lũ súc sanh
1679,Thèm quá anh ơi
1680,Mua nick liên minh à
1681,trời ơi nhìn mà thèm luôn
1682,😂😂😂😂😂😂😭😭😭😭😭😭
1683,link nhac đầu tiên.  ten gì vy. cho e xin vs
1684,"Video hay lm a 
Mong a ra các video hay nữa ạ"
1685,Hay !
1686,Em thách anh làm hamburger khổng lồ tại nhà
1687,"nhìn qua thế thôi nhưng mà nếu nhìn kĩ khuôn mặt, nếu b ý sửa soạn lên là đẹp luôn, có j đâu mà chê"
1688,Ăn trái dứng đi anh
1689,ăn tất cả là loại nướng ra hết các nước mua ăn cơ chứ k an 1 quán đâu đấy vs là thử thách
1690,"Nhìn m như thằng thiểu năng vậy,ăn thử thách tưởng nhiều mà hóa ra ít vcl,đéo đủ làm clip,đéo hiểu nghĩ j"
1691,Toàn món e thik k hic làm youtube sướng gê :<
1692,Thèm
1693,Đói
1694,Cái dì cx đc hết có cái ẹo ẹo thấy ghét làm như mình đẹp lắm dị á
1695,Anh làm vid đi săn bắt đi
1696,mình rất thích ăn xúc xích chấm tương ớt hoặc thứ nào đó cay ngoại trừ ớt
1697,Em thấy anh làm video ko hay lắm ! Ý kiến riêng nha 😘😘😘😘
1698,"the nay mà gọi là thu thách phải ăn hết  
nhìn mặt xấu goắc"
1699,hay lắm hihi . moi người qua kênh mình ủng hộ nha
1700,đây là clip đầu tiên t xem ! nói chứ nhìn thèm
1701,Cho xin link nhạc ạ
1702,Làm video chỉ ăn uống thôi chứ thử thách Gì xàm xí đú
1703,2018 r con hớt mái ngố
1704,Chảy cả nước miếng!Chú có nhiều tien quá$$$
1705,a thử làm mì cay trog trái dua jk a
1706,Trê trâu lm ytb   .. đéo vui
1707,"Anh hãy thử thách chấm tất cả mọi thứ với coca đi anh, mong mn ủng hộ"
1708,Cậu sinh 2k1 phải kh z
1709,Muốn ăn quá 😋😋😋😋
1710,like
1711,chăm sóc da mặt anh yêu quý ơi
1712,Nét mặt anh nhìn giống anh mạnh trong Hữu Bộ vlogs
1713,Mặt ngáo vãi cặc
1714,Sao anh không tự thử thách mình 24h trên cây đi
1715,Chảy nước miếng rồi 😋😋😋😋
1716,Link
1717,Em nghĩ anh nên mua cùng 1 lúc rồi ngồi ăn ở đâu đó quay chứ em thấy anh vừa cầm camera vừa ăn vất vả quá
1718,tuyên bố những thằng trẻ trâu dell có kênh youtube ghen ăn tức ở vs ngta ak dell xem thì kút dell ai cần mày xem đâu ok mấy thằng trẻ trâu dell đc như ngta vô cmt chửi cl xem lại bọn mày đi dell ra j rồi chửi ngta ngta làm video cho các ae xem vui giai tri lan sau vo sua bo dap
1719,Bài hát đầu tên j ai bt cho xon link
1720,Anh ơi đi ăn gà rán đi
1721,ăn uống vô duyên. nhìn đã không ưa rồi :3
1722,Hem vay
1723,"Trông ngon vậy thôi nhưng cực kì.. Bẩn,mất vệ sinh lắm!"
1724,ủng hộ nguyên nha ae
1725,"Tao nhìn tk này làm clip thì nhạt vc 
Song còn như tk tắc ngơ"
1726,Nhin ngon vl chi muon an ma ko co tien mua ...hi hi
1727,em gai karaoke thiên chúa ejzne78wuwhfhxjskw9ru n
1728,Cái mặt toàn mụn hãm vklll
1729,j đẹp trai z 😞
1730,Thằng này hôm qua nó đi bơi nó đẩy tao thằng cò hó
1731,them qua .Hi hi
1732,Mày để avatar hãm chó vãi
1733,cố lên e... lưu lại kỷ niệm..ai chửi kệ ngta...nhiều người thích mà
1734,A ở tỉnh nào mà Mỹ Long vậy phải TiềnGiang k
1735,Mặt thằng này đéo ưa ms tạo.Mặt câng câng hết vkl
1736,Thèm chảy nước miếng 😭😭😭😭😭
1737,Like đê 😍😍😍😍
1738,đẹp trai
1739,Hay
1740,Làm clip ăn sầu riêng uống nước coca cola thử đi
1741,Anh oi anh thu làm ô banh mì không lô đi nhé
1742,Mặt m ăn như cắn lol cho
1743,chỗ này ở khu vực nào của Cao Lãnh vậy? nữa chạy ngang mua ăn
1744,Anh Nguyên đẹp trai ghê
1745,ngon vãi
1746,Nhìn anh trông tội nghiệp kiểu j ý :v
1747,Mặt vs điệu bộ cứ ẻo ẻo giống bê đê
1748,Anh lm thu thack sog 25 trong phong ko co quat dieu hoa ik
1749,Anh oi anh lm thu thach o duoi nuoc ik
1750,Sống có hiếu tí cho dân chúng nó thương
1751,"Xấu trai vcđ @@
Làm youtube thì để ý nhan sắc tý góp ý thôi nha"
1752,"Sao nhìn giống hot boy bồn cầu vậy , thứ lỗi"
1753,Lòi ruột ra chưa như tao là lòi lâu òi nhìn vào mà muốn ói
1754,Anh quá đep trai 💓💓💓🙆
1755,"Như Tk chết đói
Ghê vl"
1756,Nhìn thằng này ngáo ngáo sao ấy
1757,Ngon
1758,Ngon
1759,Ngon
1760,Ngon
1761,Ngao lon lam cilp
1762,"[
ông này bị gì, lúc nào làm clip cũng thấy sao  sao, ở ta hơi hơi bị thùn.]"
1763,Híc mấy tấn nước miếng của tui
1764,Mấy thằng gato với ngta r vào chửi mắc cười ghê
1765,Thèm quá
1766,Đcmm nhìn ăn đéo muốn xem r
1767,nói chuyện dễ thương nữa
1768,Thèm
1769,...
1770,Nhìn ngon quá đi💯
1771,Nhìn mặt hãm tài vc 🤙🤙😂
1772,hay quá anh ơi
1773,Ah thử ăn dừa hỏa diễm sơn đi ah
1774,Tui cũng thích ăn mấy món đó lắm
1775,có ai đặt thử thách này đâu
1776,Nói chuyện với người lớn thế hả thằng ml
1777,ngon qua anh oi
1778,"Mấy món vậy trên Đà Lạt có đầy luôn 
Giờ nghĩ thèm vãi ;-;"
1779,Làm video càng ngày càng hay mỗi tội cái mặt hơi ngố
1780,"hay quá <3 
cho a 2 like luôn nè ^^"
1781,Nhìn như thiểu năng ...
1782,em thèm quá☺☺
1783,đã xem video của ngta r thì bớt chửi
1784,ăn uống vô duyên vcl. nhìn tởm vch
1785,Thèm quoá ai cho xin miếng i🙏🏻🙏🏻🤤🤤🤤❤️❤️
1786,Trẻ trâu
1787,"anh ơi,ăn thì ăn nhưng ăn ít thôi kẻo nổi mụn đó"
1788,Tk e tu mấy kíp ms gặp đc tk này cho ăn suốt
1789,Tao nhớ khi còn cap 1 ngày nào cũng mất 2~3chục ngàn vì mấy thứ này :))
1790,Ủa ăn như chết đói đó h vậy anh
1791,Anh bớt bắt chước các YouTube khác đi nhìn quay y chang như mấy YouTube dưới quê 🙏🙏🙏🙏
1792,Quả đầu với cái mặt vứt mẹ đi
1793,Thử thách ăn cay đi anh
1794,thèm quá anh ơi
1795,😍😊
1796,Nhìn cái mặt lol nó thấy ghét khùng khùng
1797,Thèm quá
1798,Thèm quá
1799,Anh ơi em ở mỹ hội nè
1800,thần áo trắng giống bị khùng zay ák
1801,Lol cho loại suc. Vật
1802,Anh đtrai quá anh ơi
1803,xem thứ 123.456
1804,Ăn Ngoài đường nhìn vó vẻ bụi bặm quá a
1805,Lam thử thách đi câu ca
1806,nhìn lúc nó nói chuyện ngáo vc mặt ngáo
1807,Càng ngày càng thích chú mầy. A nghĩ chữi chú.
1808,Đg đói mà xem clip 😭😭😭😭
1809,Hi
1810,nhìn cai miệng no an nhu cai lon a
1811,thế này thì nước miếng chảy ròng ròng
1812,Anh ơi bố mẹ anh đâu
1813,Dung la mha que binh thuong mua  sinh to bo 10 nghin thi deo co lop kem
1814,Thằng này bị ngáo chó à
1815,ở khu vui chơi thiếu nhi mỹ long
1816,ở khu vui chơi thiếu nhi mỹ long
1817,Ai nói gì kệ họ ủng hộ anh nè ❤
1818,Anh ăn bao nhiêu một cây
1819,Nhìn mặt với mắt thằng này lúc ăn nhìn như mặt chó
1820,coi cái này nước miếng chảy được 1 L
1821,thang xuc pham
1822,Tra tấn người khác😧🤤🤤
1823,Thấy mà ghê ăn còn nhè cho người ta xem
1824,ăn bẩn như chó
1825,Anh o lam nương xu xinh trong ôn tre
1826,Nhìn ah ăn..thấy thèm zz
1827,Cho hỏi năm nay anh bao nhiu tuổi vậy anh ?
1828,Cái rămg khểnh trông duyên ghê á 👍
1829,Nhìn mặt mụn ko xấu vl còn ngáo đá nữa
1830,Ngon quá =))) e ở nước ngoài thèm lắm =))
1831,Nếu ko có mụn thì đẹp trai lắm
1832,Anh ở tỉnh nào . Mà mĩ long
1833,Ăn ko rủ mọi người nha huhu
1834,Mặt như lone
1835,Đúng là k có ý tưởng
1836,Bố tuyên bố chúng mày cấm chửi anh ý
1837,Đúng thèm luôn món ruột của tui nha 😘
1838,Cho xin miếng đi anh
1839,Ăn như chó ăn
1840,Anh để link nhạc đi anh
1841,"Anh ơi,,,  thiếu thịt nướng hhhhaa"
1842,"Sao anh ko thu thach mot ngay tam song , tu sang toi chieu"
1843,nước dãi tràn bờ đê
1844,"Mặt như cái loz 
Ăn cái mỏ dell thích rồi 
Ăn như chưa từng được ăn  chắc ba nó địt con chó ms ra nó mới ra cái mặt hãm loz như vậy 
Ai like cho video nó là con chó ăn cứt 💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩"
1845,Ccc
1846,Lm clip an lon bo đi e. Lon bo cham tuong ngon lm
1847,Noi ở hien tại của a là đau. Day
1848,Bài đầu tiên là gì thế anh
1849,Đang đói xem thèm vch
1850,Em cũng ở mỹ long em biết chỗ đó nè
1851,Hihi. Chả cá Quế sao ko nghe mùi quế
1852,Ngon wá anh ak ong ho ank ne
1853,Em cũng ở Mỹ Long nè anh ơi ^^
1854,Ngon quan dai ca oi 😜
1855,chuc anh tem nhieu vi deo hay nua ok ok
1856,Tội anh vl vừa en vừa hít bụi😂😂
1857,Thêm nhìu kênh ăn uống đi anh ơi
1858,Ngoc
1859,4:25 là bài gì vậy anh mong được bài EDM này :(
1860,.Ăn thế bảo s hết mụn :(
1861,Cho end xin lại ních facebook 😇
1862,chào anh nguyên lé kkk
1863,anh anh ngon he
1864,Ngon quá !!!
1865,Nguoi ta lam video cho minh xem roi ma con chui nguoi ta nua
1866,người ta thường gọi Thiệu là lộn thiều
1867,thèm quá
1868,"cung ngon ma ko chia sẻ 
p"
1869,:< thánh ăn vặt rồi anh êy
1870,Anh bớt ngáo lại dùm e
1871,2 lay bơ anh mua bnhiêu v??
