,Comment,Type,
4657,"Phim Vợ ba kể về Mây, một cô gái trẻ vùng nông thôn phía Bắc cuối thế kỷ 19, được gả làm vợ ba của một người đàn ông trung niên, giàu có. Mây học hỏi mọi thứ từ người vợ cả và người vợ hai về công việc gia đình và chuyện làm tình để thỏa mãn chồng. Phim có một số cảnh nóng giữa Mây làm tình cùng chồng, Mây mang thai và sinh nở gây nên nhiều ý kiến trái chiều trong dư luận suốt thời gian qua.",0,91
4666,"Trong tập 27 phim Về nhà đi con vừa lên sóng tối qua, sau khi lấy được số điện thoại của Vũ (Quốc Trường), Dương (Bảo Hân) lừa anh ra cafe định bụng đánh cho tên Sở Khanh này một trận. ""Tên khốn! Chị tôi thì bỏ qua cái loại sở khanh như anh còn tôi thì không bao giờ. Bất cứ ai đụng vào gia đình tôi, đều phải ăn đấm"", cô út nhà ông Sơn (NSƯT Trung Anh) cảnh cáo Vũ.",0,83
4667,"Tuy nhiên, màn ""thay chị hành đạo"" của Dương chưa diễn ra được bao lâu thì đã bị Thư (Bảo Thanh) rồi đến ông Sơn chạy tới ngăn cản. Đồng thời, toàn bộ lời sỉ vả của Vũ dành cho Thư trong lúc nóng giận cũng bị ông Sơn nghe thấy. ",0,51
4668,"Hệ quả của chuyện này là một cuộc họp gia đình đã được diễn ra nhanh chóng tại nhà ông Sơn. Trong khi ông Luật (NSND Hoàng Dũng) và bà Giang (Ngân Quỳnh) tỏ ra vô cùng xấu hổ với người bạn lâu năm thì ông Sơn lại tỏ ra vô cùng điềm tĩnh. Nhẹ nhàng thông báo cho bố mẹ Vũ chuyện cậu ấm nhà họ đã sỉ nhục Thư như thế nào, ông Sơn bày tỏ luôn là sẽ không ăn vạ và cũng chẳng đủ tin tưởng để giao con gái cho một người Sở Khanh như vậy. ",0,101
4669,"Luôn miệng nói đã chuẩn bị tinh thần làm ông nội bất cứ lúc nào nhưng tai họa lần này vẫn không khỏi khiến ông Luật tăng huyết áp. Nhất là khi thái độ gay gắt không phối hợp chịu trách nhiệm của Vũ còn được vợ mình bênh vực. Với sự chiều chuộng thái quá của bà Giang, sớm muộn rồi cậu quý tử độc nhất này cũng trở thành một kẻ chẳng ra gì. ",0,76
4670,"Về phía Thư, dù cả nhà đã xúm vào phân tích, khuyên bảo nhưng cô vẫn rất bối rối vì cho rằng bản thân chưa sẵn sàng làm mẹ. Dù vậy, vì câu chuyện đã bị quá nhiều người biết nên cô vẫn ra gặp Vũ một lần nữa với mong muốn giải quyết êm xuôi. Bởi vậy, trước những lời sỉ nhục liên tục của Vũ, Thư vẫn cố nhịn xuống. Thậm chí, đến khi Vũ nói sẽ cho Thư 1 tỷ và sắp xếp bác sĩ phẫu thuật nhưng cô cũng chỉ nhẹ nhàng giải thích là sẽ tự sinh đứa bé ra và tự nuôi chứ không đòi bất cứ ai chịu trách nhiệm.",0,117
4671,"Mọi chuyện chỉ phức tạp hơn khi Vũ mở lời xúc phạm ông Sơn là ti tiện vì lợi dụng mối quan hệ bạn bè mấy chục năm với ông Luật để ăn vạ. Điều này đã đụng chạm tới ""điểm mấu chốt"" của Thư, sỉ nhục cô thì không sao nhưng đụng tới người cha mà cô kính trọng nhất thì Vũ thật sự đã chọc phải ""ổ kiến lửa"" rồi. ",0,72
4672,"Túm lấy cổ áo của Vũ, Thư mở gằn giọng mắng anh ""đã ngu còn cố tỏ ra mình nguy hiểm"", cô còn khẳng định: ""Anh không muốn tôi sinh con chứ gì, tôi sẽ sinh đứa bé này ra bằng được. Anh không muốn kết hôn chứ gì, tôi sẽ khiến anh phải quỳ dưới chân xin cưới tôi. Tất cả những chuyện ngày hôm nay đều bắt nguồn từ sự ngu dốt của anh mà ra đấy!""",0,79
4673,"Khăng khăng rằng mình đúng, còn Thư cố tình gài bẫy để đào mỏ mình, Vũ chỉ giật mình tỉnh ngộ khi bị cậu bạn thân là Dũng (Anh Vũ) mắng té tát. ""Nó lấy mày thì được cái gì? Tao nói cho mày biết nhé, nó thừa sức tìm được một thằng ít tiền hơn mày, nhưng mà có đạo đức hơn mày!""- Dũng chắc nịch khẳng định khiến Vũ tái mặt.",0,73
4674,"Liệu sau một loạt những hành động ""ngu xuẩn"" như vậy, Vũ sẽ bị Thư ""ngược"" như thế nào?",0,19
4675,Đón xem tập 28 Về nhà đi con được phát sóng vào lúc 21:00 ngày 21/5 trên kênh VTV1.,0,19
4700,"Trong tập 13 Nàng dâu order đã lên sóng với nhiều tiết hài hước. Ở tập này, Yến đã chính thức đi làm hành chính để tránh bị bà nội soi mói cả ngày. Nói với cả nhà rằng đi làm ở công ty truyền thông tuy nhiên thực tế thì Yến đến tá túc ở phòng làm việc của Kiệt để tập trung viết lách.",0,66
4701,"Trong tập này, Yến đã quyết định thuê người giúp việc theo giờ để làm tất cả việc nhà, không để bà nội phải đụng tay.",0,26
4702,"Người giúp việc mới khong phải người dễ đối phó, bị bà nội sát sao từng hành động, cô giúp việc chẳng ngại cạnh khóe, trả treo khiến bà nội tức tối.",0,32
4703,Cô hàng xóm sang chơi lại cảnh báo bà nội về chuyện có người lạ trong nhà sẽ tiềm ẩn nhiều nguy hiểm. Thậm chí cô này còn cho bà nội đọc hàng loạt tin tức liên quan đến các vụ án giúp việc giết chủ nhà cướp tài sản.,0,50
4704,"Nghe vậy, bà nội vô cùng sợ hãi. Thấy cô giúp việc mang sẵn trong người con dao sắc, chặt gà bổ ầm ầm khiến bà nội thất kinh hồn vía. Cô giúp việc làm xong, bà nội thậm chí còn không dám xuống nghiệm thu mà cố thủ kỹ trong phòng ngủ.",0,53
4705,"Sau khi Yến - Phong đi làm về, bà nội lập tức thông báo rằng người giúp việc có ý giết mình. Nhưng Yến nhất quyết không đổi người giúp việc. ",0,31
4706,"Ngày hôm sau, bà nội đóng chặt cửa không cho giúp việc vào nhà. Cô giúp việc tức giận cầm dao chặt gà vung lên để đe dọa. Thấy thế bà nội gọi điện cho Phong về giải quyết. Cuối cùng, giúp việc ra về, bà nội bớt sợ hãi nhưng Phong lại lo những ngày tới không biết giải quyết ra sao.",0,63
4707,"Qua tập này, nhiều khán giả cảm thấy thương xót bà nội vì tuổi đã cao, có người lạ trong nhà lại thêm việc ám ảnh với tin tức những vụ án mạng nên sợ hãi cũng là điều dễ hiểu. ",0,41
4718,"Tháng 5 thường niên là khoảng thời gian giới truyền thông và người hâm mộ cả thế giới đổ dồn sự chú theo dõi LHP Cannes, một trong những sự kiện hoành tráng hàng đầu của làng điện ảnh toàn cầu. Nhưng càng ngày, người ta lại càng phải đặt chấm dấu hỏi cho một Liên hoan phim vốn được tôn vinh là danh giá. Những sự kiện thảm đỏ dài ngày được lấp đầy mới những người đẹp vô danh, thích ""chơi trội"" khiến công chúng hoang mang tột độ. Rốt cuộc chuyện gì đã xảy ra với Cannes vậy?",0,101
4719,"""Ngày hội tiền lương"" của gái mại dâm hạng sang và người mẫu hàng đầu",0,15
4720,"Bên cạnh sự xuất hiện của những ngôi sao nổi tiếng được báo chí săn đón, những tác phẩm điện ảnh được vinh danh thì LHP Cannes còn được Elie Nahas, một ""tú ông"" khét tiếng, gọi là ""ngày hội tiền lương lớn nhất trong năm"". Sau khi Nahas bị bắt vào năm 2007, mọi người mới được biết thêm nhiều điều về những góc tối ở LHP Cannes. ",0,69
4721,"Trước khi bị bắt, Nahas từng cung cấp 50 người đẹp đến từ khắp nơi trên thế giới cho những khách hàng nam giới giàu có ở Trung Đông. Công việc của Nahas là liên lạc, đón các cô gái ở sân bay rồi chở họ đến du thuyền của Gaddafi con và các du thuyền siêu sang khác đậu trên vịnh. Những người hoạt động dưới trướng Nahas gồm cả người mẫu, hoa hậu và gái gọi chuyên nghiệp.",0,80
4722,"Từ Hollywood Reporter đưa tin: ""Cũng có những người bị lừa lên du thuyền hoặc khách sạn để các khách hàng nam cưỡng bức, nhưng phần lớn những người đẹp đều tự nguyện. Tại LHP Cannes, ngành kinh doanh lớn thứ hai sau phim ảnh chính là tình dục"".",0,49
4723,"Để thu hút sự chú ý từ những khách hàng giàu có, những cô gái gọi cao cấp thường ăn vận lồng lộn chẳng kém gì minh tinh màn bạc. Thậm chí, có người cao tay còn móc nối được suất tham dự thảm đỏ. Nhà phê bình Roger Ebert từng phát biểu: ""Gái gọi nhan nhản tại Cannes. Đó là những cô ả ăn vận lộng lẫy và không hút thuốc. Chẳng thể nào phân biệt được đâu là gái gọi nếu họ không chủ động ra hiệu"".",0,89
4724,"Kristin M. Davis, tú bà nổi tiếng ở Hollywood khi bị bắt giữ đã khai báo: ""Giá của người mẫu hàng đầu thường cao gấp 5 lần gái gọi hạng sang. Họ thường phục vụ theo giờ. Một đêm, người mẫu có thể kiếm tối đa 40.000 USD (tương đương gần 1 tỷ đồng)"". Davis còn khẳng định đường dây của bà tập hợp toàn những gương mặt hàng đầu trong làng thời trang, từng sải bước trên sàn catwalk của Victoria’s Secret, Ford, L'Oreal, Michael Kors và Gucci,...",0,89
4725,"Timmy Secor, chủ một đơn vị quản lý người mẫu nói: ""Đây là điều tất yếu khi bạn muốn trở thành người mẫu. Nếu không có sản phẩm để bán, thứ bạn có chỉ còn thân xác. Kiếm tiền trong sạch không hề dễ dàng. Có quá nhiều người đẹp nhưng công việc lại hạn chế vô cùng"".",0,58
4726,Cơ hội đổi đời của những nữ diễn viên vô danh,0,11
4727,"Năm 2014, Harvey Weinstein hẹn gặp riêng nữ diễn viên Kadian Noble tại hành lang một khách sạn ngay sau khi trở về từ thảm đỏ Cannes. Sau một cuộc đối thoại ngắn ngủi, nam đạo diễn đã dụ dỗ nữ diễn viên 27 tuổi vào phòng riêng để tiện bề thảo luận về những dự án phim phù hợp với cô. Đó là một việc quá đỗi bình thường ở châu Âu nên Kadian đã chẳng may nghi ngờ. Theo những gì Kadian kể lại, những chuyện xảy ra sau đó thực sự là ác mộng kinh hoàng nhất cuộc đời cô. Harvey đã khóa chặt cửa phòng và lao tới cưỡng hiếp cô một cách thô bạo. Sau khi thỏa mãn được thú tính của bản thân, ""ông hoàng Hollywood"" không quên hứa hẹn một tương lai xán lạn dành cho Kadian.",0,144
4728,"Câu chuyện trên chỉ là một ví dụ điển hình đã bị phanh phui trước công chúng. Còn tảng băng chìm khổng lồ phía dưới là những điều ai cũng biết nhưng chẳng ai dám nói ra. Ngoài cuộc đổi chác tình - tiền giữa chân dài và đại gia, còn tồn tại một loại đổi chác khác cũng nghiệt ngã không kém. Cannes chính là cơ hội cho những nữ diễn viên vô danh tìm tới các đạo diễn, nhà sản xuất phim nổi tiếng để thu hút sự chú ý. Họ tình nguyện đổi thân xác để lấy một vai diễn trong phim điện ảnh, giành giật từng tia hi vọng bản thân có thể một bước nhảy vọt lên đỉnh cao của danh vọng.",0,127
4729,"Những ""cò mồi"" cũng chẳng phải để trưng. Họ đóng vai trò dẫn dắt, môi giới ""người cung cấp"" và ""người có nhu cầu"" đến với nhau. Vì vậy, hiệu suất tại Cannes luôn thuộc hàng ""chất lượng"". Đây cũng là lý do Liên hoan phim kéo dài đằng đẵng mười ngày nửa tháng mà ngày nào cũng chật ních những nhân vật xúng xính áo quần, ăn mặc chỉ sợ không thể lồng lộn hơn.",0,76
4730,"Mang tiếng một Liên hoan phim hàng đầu nhưng càng ngày càng ít thấy sự xuất hiện của những ngôi sao hạng A tại Cannes. Thậm chí thảm đỏ năm nay còn chưa có sự xuất hiện của bất kỳ một cái tên quyền lực nào. Thay vào đó là dàn người mẫu nổi tiếng giúp lấp liếm phần nào sự thiếu hụt, nhưng số lượng người nổi tiếng chẳng thể nào đọ lại được một số lượng đáng kể những nhân vật vô danh, chẳng ai biết mặt gọi tên. Như thể tất cả những mỹ nhân vô danh đều tề tựu về đây, giành giật với nhau cơ hội đổi đời trong mơ.",0,115
4731,Chỉ cần có tiền là bất cứ ai cũng có suất trên thảm đỏ,0,14
4732,"Bên cạnh những minh tinh hạng A showbiz, những diễn viên đến với Cannes với mục đích tuyên truyền phim ảnh, thì những năm trở lại đây, netizen chứng kiến sự đổ bộ ồ ạt của những mỹ nhân vô danh, làm đủ mọi trò lố để tạo ""phốt"" và nổi tiếng. Hết ngã dúi dụi tại thảm đỏ lại đến ăn mặc hở hang, lố lăng, rất nhiều gương mặt không tên tuổi, hotgirl MXH Trung Quốc khiến Cbiz phải mất mặt.",0,83
4733,"Những năm gần đây, vé đi thảm đỏ Cannes đã trở thành công cụ sinh lời của các doanh nghiệp nước ngoài, cuộc thi sắc đẹp và du lịch lữ hành. Một nhân viên phụ trách cho biết, bởi thảm đỏ Cannes không cho chụp ảnh selfie, trong khi đó tới đây quan trọng nhất là phải có ảnh chụp. Chính vì vậy, ngoài những giá cho vé mời kia, sẽ cần phải chi thêm khoảng hơn 200 triệu đồng cho các chi phí đi kèm. Mức giá 500 triệu đồng cho một cơ hội được xuất hiện trên thảm đỏ Cannes là chuyện quá nhỏ với những hotgirl Weibo hay chủ shop bán hàng online tại Trung Quốc. Vì vậy, sự xuất hiện ồ ạt của những gương mặt lạ hoắc, thích gây chú ý tràn ngập thảm đỏ LHP.",0,141
4734,"Nhưng như vậy đã là đủ? Câu trả lời chắc chắn là chưa!!! Ảnh đẹp để làm gì khi chỉ để đăng tải lên trang cá nhân và những tạp chí vô danh? Vậy làm thế nào để thu hút từ sự chú ý của những tờ báo uy tín hơn? Nếu bạn không có một nhan sắc nổi bật trời ban, thì ""làm lố"" là phương án tối ưu nhất.",0,71
4735,"Thảm đỏ Cannes qua các năm đều không thiếu những trò hề khiến công chúng phải ngán ngẩm lắc đầu. Tất cả những gì có thể tưởng tượng về thảm họa thời trang đều quy tụ đủ đầy tại Cannes. Từ các khách mời vô danh mặc những trang phục quái đản cho đến những người đẹp khoe thân hết sức có thể, bất chấp phơi bày ""vùng kín"" trước đông đảo khách mời, báo chí và khán giả. Không biết từ bao giờ thảm đỏ Cannes đã trở thành cơ hội đổi đời của mỹ nhân khoe thân rẻ tiền như vậy?",0,103
4736,So với những thảm đỏ đình đám khác thì Cannes đã biến chất trở thành thứ gì thế này?,0,19
4737,"Hãy thử đặt thảm đỏ Cannes lên bàn cân so sánh cùng Met Gala 2019, sự kiện thảm hồng với dresscode yêu cầu khách mời tham dự phải mặc thật quái, thật lố. Nhưng sự khác biệt giữa sự lố của Cannes và Met Gala lại khác xa nhau một trời một vực. ",0,53
4738,"Thậm chí, tại những thị trường giải trí nhỏ hơn như Trung Quốc hay Hàn Quốc, sự kiện thảm đỏ đều diễn ra vô cùng chỉn chu với danh sách góp mặt toàn những gương mặt đình đám và những tên tuổi gạo cội. Những trường hợp cố tình gây sốc tạo sự chú ý đã giảm rõ rệt theo thời gian. Cho đến thời điểm hiện tại, những thảm đỏ đình đám nhất hai quốc gia châu Á này đã hoàn toàn vắng bóng những hình ảnh lố lăng không đáng xuất hiện trong một sự kiện tầm cỡ nữa rồi. Chính sự khác biệt này khiến người hâm mộ càng thất vọng với chất lượng sự kiện thảm đỏ của một Liên hoan phim danh giá, mang tầm cỡ thế giới như Cannes. ",0,135
4739,"Khi mục đích chỉ còn xoay quanh hai chữ ""doanh thu"" thì sẽ chẳng bao giờ khá lên được",0,19
4740,"Trong ngày thứ 2 diễn ra thảm đỏ Cannes, nữ ca sĩ Lý Vũ Xuân đã được nhà thiết kế nổi tiếng Olivier Rousteing nhận xét là ""Angel on earth"" (Thiên sứ) và giới truyền thông quốc tế cũng dành tặng mưa lời khen cho ""Tạo hình đẹp nhất"". Không chỉ thế, Lý Vũ Xuân còn được 1 mình khoe sắc trên thảm đỏ trong vòng 5 phút. Những đặc quyền này khiến công chúng phải đặt câu hỏi, liệu Lỹ Vũ Xuân có thật sự xuất sắc đến thế? ",0,90
4741,"Thực tế, việc được ""dọn đường"" là 1 ưu đãi đặc biệt của 1 nhãn hiệu nổi tiếng hợp tác với Cannes, Lý Vũ Xuân là người đại diện trên toàn cầu của nhãn hiệu này nên mới được hưởng đặc quyền như vậy. Olivier Rousteing cũng là nhà thiết kế chính của thương hiện nói trên.",0,57
4742,"Khách quan mà nói, những câu chuyện được nói bên trên cũng đều xoay quanh đồng tiền. Lợi nhuận chắc chắn không chỉ đến từ sự tài trợ của các nhãn hiệu. Những góc khuất của LHP Cannes mới tạo nên những khoản thu khổng lồ khiến nhiều người đỏ mắt thèm thuồng. Tuy nhiên, mội sự kiện uy tín và chất lượng chắc chắn không bao giờ đặt lợi nhuận lên hàng đầu như Cannes. Đó cũng chính là lý do ngày càng ít những ngôi sao quốc tế quyền lực xuất hiện tại Liên hoan phim quốc tế này. Hào quang đáng lẽ ra chỉ thuộc về những nghệ sĩ, diễn viên chân chính nay đã phải san sẻ cho những gương mặt rẻ tiền và vô danh.",0,130
4755,"Vào ngày 20/05, Bộ trưởng Bộ Văn hóa, Thể thao và Du lịch Nguyễn Ngọc Thiện vừa chỉ đạo kiểm tra lại quy trình cấp phép phim Vợ Ba. Theo Bộ, phim sẽ bị yêu cầu ngừng chiếu trên toàn quốc từ 18h cùng ngày.",0,45
4756,"Tính đến thời điểm 22h ngày 20/05, Vợ Ba đã chính thức bị dừng chiếu tại toàn bộ các hệ thống rạp trên toàn quốc.",0,25
4757,"Vợ Ba là bộ phim hiếm hoi của Việt Nam được công chiếu tại nhiều quốc gia trên thế giới. Tuy nhiên, khi về màn bạc nước nhà, bộ phim dấy lên một làn sóng phản đối dữ dội từ phía khán giả khi bộ phim gắn nhãn C18 lại để một diễn viên mới 13 tuổi tham gia. Đặc biệt, cô bé này còn có những cảnh phim nóng, vượt quá lứa tuổi của mình.",0,76
4758,Theo Bảo Anh (Helino),0,4
4786,"Liên quan tới việc Ngọc Trinh ăn mặc “gợi dục” ở Cannes, nhiều người đặt ra câu hỏi, Ngọc Trinh đến Cannes với lý do gì? ",0,26
4787,"Ông Nguyễn Thái Bình, Chánh văn phòng Bộ VHTTDL cho hay, Bộ không cử Ngọc Trinh đi Cannes với bất cứ tư cách gì.",0,24
4788,"Chánh văn phòng Bộ VHTTDL cho rằng, hình ảnh của Ngọc Trinh quá phản cảm. Nhiều người nói với hình ảnh đó, quốc tế coi là bình thường nhưng với văn hoá người Việt, cô ấy vẫn mang quốc tịch Việt Nam thì đó là bộ trang phục không thể chấp nhận. Bạn bè quốc tế nghĩ gì về hình ảnh của Việt Nam.",0,64
4789,"“Ngọc Trinh ý thức được việc cô ấy mặc nó sẽ như thế nào, bằng chứng là cô ấy trả lời báo chí rằng, cô ấy là nữ hoàng nội y, mặc như vậy là bình thường. Tôi hy vọng mọi người sẽ lên án mạnh mẽ về hành động này của Ngọc Trinh, để từ đó cho giới trẻ không có cái nhìn lệch lạc về sự tự tin quá đà như vậy”, ông Nguyễn Thái Bình chia sẻ.",0,80
4790,"Trước đó, tối 19/5, Ngọc Trinh lần đầu đặt chân tới thảm đỏ LHP Cannes. Mỹ nhân quê Trà Vinh chơi trội với bộ đầm mỏng manh cắt xẻ táo bạo của NTK Đỗ Long, phô diễn phần lớn da thịt trước cả ""rừng"" ống kính quốc tế. ",0,48
4791,"Diện mạo của nàng mẫu Việt không chỉ gây xôn xao trên các diễn đàn trong nước mà còn trở thành đề tài bàn tán của người dùng mạng Trung Quốc. Nhiều ý kiến trên Weibo chê Ngọc Trinh ""thô tục"", trong khi không ít tài khoản trên Douban bình luận khiếm nhã, thậm chí cho rằng cô là diễn viên phim cấp ba.",0,64
4792,Theo Tình Lê (VietNamNet),0,4
4799,"Phim truyền hình Game Of Thrones từ xưa đến nay vẫn luôn thu hút người xem qua cốt truyện hấp dẫn, những trận đánh đẫm máu cùng kỹ xảo hình ảnh đỉnh nhất của HBO. Tuy vậy không hiểu vì sao mà đến mùa cuối cùng, các nhà làm phim liên tiếp mắc phải những lỗi ngớ ngẩn đến ngây cả người. Điển hình là việc những ""vật thể lạ"" bằng một cách nào đó đã ""xuyên không"" lọt vào khung hình của bộ phim mà ekip không thể đưa ra một lời giải thích nào hợp lý ngoài lời xin lỗi tận... ba lần.",0,105
4800,Đội ngũ hình ảnh của Game Of Thrones quyết tâm làm hỏng cho đến tận tập cuối của series này bằng một chi tiết mà người xem có thể dễ dàng nhận thấy ngay. Đó là chai nước suối bỗng dưng có mặt dưới chân của Samwell Tarly (John Bradley).,0,50
4801,"Đây không phải là lần đầu tổ hiện trường của Game Of Thrones mắc những sai phạm cơ bản đến kỳ cục. Người hâm mộ từng phát hiện ra chiếc cốc Starbuck của Daenerys Targaryen (Emilia Clarke) tại Winterfell trong tập 4 của mùa thứ 8 xuất hiện ngay trong cảnh quay chính thức. Rồi sau đó đến với tập 5 chúng ta lại được thấy cánh tay bằng vàng của Jaime Lannister (Nikolaj Coster-Waldau) bỗng dưng biến ngược trở lại thành một bàn tay bằng xương bằng thịt, vàng đâu không thấy nữa! ",0,94
4802,Điều này cho thấy đội ngũ thiết kế đã thực sự ẩu trong việc xây dựng mùa cuối cùng của series Game of Thrones. Nếu không tính đến những điểm dở trong kịch bản mà hai nhà biên kịch David Benioff và D. B. Weiss đã bày ra thì phim còn mắc phải hàng loạt các lỗi logic lẫn khung hình được thiết kế một cách quá ẩu và gấp gáp. ,0,71
4803,"Một lỗi không thể bỏ qua được, đó là phim đã không bám vào truyện gốc của tác giả George R. R. Martin khiến kịch bản đi vào một lối đi vô định và phá hỏng gần như toàn bộ các nhân vật cũng như mục tiêu mà bộ truyện hướng đến.",0,52
4804,"Những gì đã xảy ra ở mùa 8 Game of Thrones cho thấy vai trò của bộ truyện quả thực là quá quan trọng. Thiếu đi nguyên tác, các nhà làm phim đã đi lạc hướng, khiến bom tấn truyền hình lừng lẫy đánh mất chính bản thân mình. ",0,49
4805,"Với những người hâm mộ, có lẽ chúng ta nên tiếp tục chờ những tập truyện mới của tác giả George R. R. Martin để tìm lại được những cảm xúc trọn vẹn khi thưởng thức cuộc tranh ngai vàng tại Westeros thay vì cái kết ngán ngẩm của series truyền hình từng một thời ăn khách.",0,57
4814,"Cách đây vài giờ, Lê Thúy đã chia sẻ lên mạng xã hội những bức xúc về việc BTC chương trình thời trang vừa diễn ra ở Hạ Long ngày 18/5 đã có nhiều hành động phân biệt đối xử với cô và các đồng nghiệp khác. Cụ thể, Lê Thúy kể lại hôm đó cô di chuyển tới điểm tập kết rồi cùng người mẫu đi ra điểm diễn là ngoài đảo. Thế nhưng dàn người mẫu phải đối diện với cảnh 3 tiếng nóng bức trên thuyền bán vé, cơm khô và thức ăn nguội ngắt, phải cố lùa nửa chén cơm với mấy quả cà pháo cho bao tử có cái hoạt động nguyên ngày.",0,118
4815,"“Ra đến điểm diễn không có lấy nổi 1 chai nước cho người mẫu uống, khát khô cả người đắng hết cả họng đi kiếm nước không có là không có, tối diễn xong như muốn ngã quỵ vì khát chưa bao giờ cảm thấy nước là vàng là bạc như ngày hôm qua. Dọn cơm ra vẫn là cơm khô, thức ăn nguội, thật sự không nuốt nổi nhưng vẫn phải cố chan bát canh nhạt nhẽo vào lùa lấy lùa để vào bụng cho có chút sức lực. Chưa bao giờ mình và người mẫu lại rơi vào cảnh như ngày hôm qua thực sự quá phẫn nộ”.",0,110
4816,"Lê Thúy cũng cho biết tất cả người mẫu xơ xác, đi không nổi đứng không vững vì mệt lại còn bị đối xử quá tệ. Cô tự hỏi tại sao lại đối xử quá tệ và thiên vị với người mẫu đến như vậy. Khách mời, người mở màn, kết màn được bước lên con tàu 5 sao - 6 sao, tiệc tùng ăn ngon, rượu say ngắm pháo hoa trong vinh quang còn người mẫu bước lên những con tàu cũ, với mấy cái máy quạt mùi khói dầu hoà chung với cơm khô đồ ăn nguội ngắt.",0,100
4817," 
“Mình định sẽ không nói gì rồi, nhưng hôm qua đứng đợi để đi về thì mấy chị trong ekip dễ thương nói ‘Cho tụi người mẫu và make up về sau cùng bây giờ phải chở khách mời lên tàu 5 sao trước’ trong khi đó tàu 5 sao cách đó 5 phút di chuyển còn người mẫu phải ngồi tàu chậm 3 tiếng đồng hồ mới về tới đất liền.",0,72
4818,"Về tới đất tiền tầm 11h30 đêm không một ai take care, người mẫu ngồi chờ một lúc có xe ra thì chen nhau lên xe về lấy phòng rồi mua vội ly mì chai nước lạnh để hoàn sức. Với cái suy nghĩ chỉ chăm sóc cho người mở màn và kết màn thì show chỉ nên mời 2 người mở màn và kết màn diễn hết show luôn cho khỏe, đỡ tốn chi phí. Không một ai trong ekip động viên hoặc dành lấy cho người mẫu một lời cảm ơn trân trọng ngoài MC Thuý Vân”.",0,99
4819,"Sau màn ""bóc phốt"" của Lê Thúy, nhiều bạn bè đồng nghiệp cũng vào hỏi thăm, đồng thời có những phản hồi về vấn đề nữ người mẫu chia sẻ. Người mẫu Trịnh Hồng Quế tiết lộ thêm: “Em còn bị vào phòng tự thu dọn hành lý của em xong làm mất đồ của em. Cái đồng hồ em để trong phòng cũng mất, giờ không ai chịu trách nhiệm”.",0,71
4820,"Người mẫu Dương Ngọc Khả Trang hài hước cho biết: “Cái bát ăn cơm sứt 3 vành luôn chị ạ”. Sau đó, Lê Thúy cũng phản hồi: “Cái bát chị ăn tanh òm nè em, mà vẫn phải nhắm mắt nuốt vì mình thật sự không có sự lựa chọn”. Trong khi đó người mẫu Hằng Nguyễn cho biết: “Nay đi xe ra sân bay mà xe không đủ chỗ ngồi. Vài người phải ngồi dưới sàn đấy”.",0,78
4821,"Cư dân mạng tỏ ra rất bất ngờ trước thông tin này, đồng thời dành lời động viên các người mẫu vì gặp phải sự cố khó đỡ. Thế nhưng cũng có nhiều người vào chỉ trích, trách móc Lê Thúy vì “sướng quen rồi, khổ chút cũng khêu than”. Cụ thể một người vào ném đá: “Các chị ăn ngon mặc đẹp quen rồi, nên khổ tí không chịu được cũng kêu. Dù sao làm cũng nhận cát-xê, có khổ tí cũng phải cảm thông cho họ vì nhiều việc. Các chị cứ muốn nâng niu, người mẫu cũng phải lao động chứ đâu phải bà hoàng, làm xong không góp ý riêng với họ lần sau rút kinh nghiệm lại còn đăng công khai chê trách.",0,128
4822,"Đừng vội trách họ mà hãy thấu hiểu cho họ, đăng thế lần sau ai dám mời các chị. Việc cá nhân các chị đi diễn quen rồi phải chuẩn bị tư trang riêng cho mình chứ, lúc họ sơ xuất thì có phải không bị các chị bới móc không? Lương tâm không biết để đâu”.",0,57
4823,"Trước lời bình luận này, Á hậu Mâu Thủy thẳng thắn bày tỏ: “Ủa cái gì cũng quy ra được bằng tiền thì lòng tự tôn của con người để đâu. Có thể BTC thiếu kinh nghiệm có thể thông cảm được, người mẫu chịu khổ quen rồi chịu thêm xíu cũng không sao nhưng cái cách em nói về người mẫu ở đây là vô lương tâm và thiếu hiểu biết nhé”.",0,73
4824,"Sau cùng, Lê Thúy đã có những chia sẻ để dừng lại sự việc. Nữ người mẫu thẳng thắn: “Ở ngoài nhìn vào họ sẽ nghĩ người mẫu giàu có lắm, toàn được ăn ngon mặc đẹp nhưng họ sẽ không bao giờ thấy được nỗi khổ cực của người mẫu sau anh hào quang, chỉ có những người trong nghề họ mới thực sự nhìn và hiểu được. Nghề nào cũng sẽ có khổ cực, có vất vả cả nhưng bạc bẽo và bị phân biệt đối xử thì tủi thân lắm.",0,93
4825,"Nên Thuý chỉ mong tất cả các show hãy yêu thương và công bằng với người mẫu đừng phân biệt đối xử quá đáng với người mẫu quá. Chỉ đơn giản là tôn trọng. Bài viết sáng nay Thuý chia sẻ chỉ mong ekip hãy dành cho tất cả người mẫu, ekip make up và các cá nhân tham gia chương trình một lời xin lỗi chân thành chứ chẳng mong gì nhiều hơn”.",0,74
4826,"Trước vấn đề này, phía BTC show thời trang vẫn chưa có phản hồi chính thức.",0,16
4827,Theo Konge (thoidaiplus.giadinh.net.vn),0,3
