,Comment
666,Top 1 thịnh hành r
667,🐹
668,Lôm côm 3 lăng nhăng😂
669,Hay thêw
670,Fan liên quân điểm danh :V
671,Em mặc quần dài áo nâu là em nao thế
672,Có ai như em lướt mấy đoạn  comment của các bác xem thời gian có vếu ko nhỉ =))
673,14:38
674,"Theo dõi mãi ms ra ai hóng làng ế vk nữa k
Phim này như phim 18+ che mỗi núm vũ và mông"
675,Sao ko xem dc  hd v
676,Ai thấy thiếu chiến thắng mất hay cho like!!!
677,Tick  tok  hoành hành kinh quá
678,Cho gái vào mất hay
679,xin in4  bạn đóng giả bị cướp với =))
680,Phim này hay quá ai còn xem phim này thì điểm danh nhé
681,Oc cho
682,"Mùa đông rồi ở nhà nhé không nên ra ngoài đường đâu nếu không sẽ bị cảm đấy . Chúc cả nhà ăn Tết vui vẻ và đầy ấm no hạnh phúc. Chúc mừng năm mới! Và được ăn các món ngon tuyệt vời như 🌮🌯🥙🍳🥗🥣🍛🍜🍝🎂🍰🥧🍮🍯🥂 🍹🍷🍱🥪 🌭🍕🍟🍔🥐 ngon lắm đấy các bạn ở nhà ăn Tết vui vẻ nhé. Chúc mừng năm mới tôi Love năm mới.❤️💓💖💋💘💋💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💘💖💖💖💖💖💖💖💖💖💖💖💖💖, năm mới vui vẻ nhé mọi người."
683,Mang tiếng phim hài 😏😏😏 t xem cả 1 tiếng . Chả có cl gì buồn cười
684,Xem được
685,Xàm.nhảm nhí
686,đông xuân. quôc oai.. tp ha nôi ak
687,"14:39    trời ơi,,đứa nào bóp vú chị mà nó chảy ghê thế,giữ gìn nhan sắc nhé chị,thương chị"
688,Sub chéo nào mọi người ơi
689,nhạt như nước ốc
690,xem đi xem lai đoạn  từ phút 31:30 đến  34:00 mà hài vcc..
691,hai binh minh hay qua
692,ko xem đc
693,Cười với ông sự
694,Quả xe chất vãi😂😂😂😂
695,Phim hay qua ạ.chéo sub đê mn
696,Mình biết nhà hàng mà đoàn phim ăn ở đâu
697,Cháu tích địt cụ bà rồi
698,phim hay quá
699,"Càng ngày càng hài nhảm,"
700,Hai nhat nheo qua
701,E mượt không được mượt như em ở phần trước
702,Sao xem chán thế nhỉ
703,Lan cave đóng này
704,hay.
705,Hello Cả Nhà.!!
706,Chào hỏi vỗ mông
707,Cang ngay cang xam
708,Vô vì cái hình 😂😂
709,Cười ỉa luôn 😂😂😂
710,Hài h VL
711,Nói thật phim hài mà chẳng hài chút nào cả. Lố bịch và chẳng chút sáng tạo. Thất vọng
712,Phim hai hay chat chua nhieu ý nghĩa
713,iPhone 4s phờ lút 😂😂😂
714,Ai xem chỉ vì cái ảnh     like cái  nào ae
715,"Hài bắc h chỉ dc cái khoe vếu. K8chj bản thì nhạt toẹt, toàn quảng cáo chẳng có j để cười."
716,Đéo có hài nào xàm và dở như hài bắc nhỉ
717,chẳng hay
718,Nhảm nhí
719,Hay
720,Hay
721,Tab 1 thịnh hành rồi :))
722,"Phim này đoạn cuối quay ở làng t, cách nhà t 200m!!!"
723,Đm thằng tích đểu
724,Gia đình có đứa nào ở nhà không
725,Xem dể ngủ
726,nhảm quá
727,Hài méo chi. Hài thì ít mà  quảng cáo thuê thì nhiều
728,Fan Chiến Thắng 50 năm điểm danh
729,Nhảm quá
730,"Toàn đánh nhau, hài cái j chứ"
731,"Giờ hài nó mang tính chất thương mại hóa, biết là phải có nhà tài trợ thì mới có cái để xem , nhưng vẫn thấy buồn quá !! . Hài bây giờ không còn hấp dẫn và hay như mấy năm trước nữa. Buồn 😖😖😖😖"
732,vo mong gai đê chao duoc nam
733,Giờ còn gì hay nữa đâu mà cứ chê có cái xem là tốt rồi
734,Vú to vãi hiiii
735,Nôn tết quá tr lun
736,xin if áo đen 18:33 :v
737,phút 59:08 có mặc quần áo ko vậy
738,Tích vẫn khôn như ngày nào ‘....
739,Tiền với bạc cha bọ
740,Hay quá
741,Còn ai đang xem như Phong điểm danh nào.!
742,cam ơn đoàn làm phim
743,"Không hiểu sao em rất thích mùi con trai, mùi mồ hôi hăng nồng ấy. Cứ nhìn thấy mấy anh trai đá banh cởi trần mồ hôi nhễu nhại là em thấy người mình nóng ran, chân líu quíu, Không biết như vậy là binh thường hay em có bệnh gì không ạ ? huhu"
744,hỗn.láo.mất dạy🤣🤣🤣
745,Hai thằng mê gái xinh thì vào nhà nghỉ 86 mà địt
746,Bọn nham nhí
747,Fan Cụ Đoành đâu. Lên cái ae ơi👆🏿👆🏿👆🏿
748,Sao ghét bà trà my thế diễn không hay bằng bà hà ruồi
749,Toàn 3d đóng gái
750,chán.😔
751,phim hài h sao v
752,áo vàng đc
753,Chú bình trọng già rồi
754,Pin han ngươi vơ 3nam
755,Mấy e diễn viên này sao giống gái ngành vl vậy
756,Ai thấy hay điểm danh
757,thay c lan vào c mượt cũ huhu c mượt cũ đâu ạ 😜😜😜
758,Làm mẹ bộ phim sex chửi tục đi .Hài lố quá thì chẳng vui đâu
759,chuc moi nguoi nam moi an khang thinh vuong🎊
760,Cứ thấy hài là thấy tết
761,"Ôg bìh trọg chân có một khúc,leo lên con cào cào buồn cười vãi😂😂😂🤣🤣🤣"
762,hài nhảm
763,14:18 ngon
764,Xàm lồn quá.vậy mà cũng làm video
765,hài không thấy đâu toàn thấy vú với cave là nhiều... ôi hài thời nay... ngày xưa mỗi bộ phim hài vừa được cười vừa có thể suy ngẫm giá trị nhân văn mà nó để lại chứ giờ hài cái đéo gì
766,"Đã có rồi! Hóng mãi, Hay quá các bạn ơi"
767,Hài nhảm quá.
768,không xem đc
769,Mấy con bé ngon quá
770,"Nhớ 





👇"
771,Fan Văn Tích đâu điểm danh cái nhỉ?
772,"ba lăng nhăng , lôm côm :)"
773,Đm ảnh nền bẩn vãi lồn
774,bắc kỳ thối mồm.
775,Ủng hộ
776,hóng tết quá
777,ket qua xe
778,Phút thứ 58'36''
779,haha hài độc tính hihi
780,Ko hiểu ông đạo diễn dâm cỡn nào
781,Mình làm clip bá đạo Dán 100 Tờ 1000 Nên Áo Khoác Ra Đường Và CÁI KẾT ĐẮNG LÒNG mong muốn mọi người ghé thăm xin ủng hộ mình ạ
782,Ủa s fim bị j r -.-
783,Hai Con MÈO meo meo
784,Năm nay hay hơn năm ngoái rồi hehe
785,Kênh dơ
786,Mỗi năm lại thay 1 cô mượt 😌😌😌
787,Nhat nhu nuoc lon :v
788,Nó cứ phải gọi là phê em à
789,😁
790,vãi cả hãng mỹ phẩm phát xít
791,Chị Lan cave 😂😂😂
792,https://www.facebook.com/VTQ113/videos/2164095417184691/
793,k xem đc à
794,Nhạt toẹt
795,Hai tao lao qua may ong oi
796,Có ai xem từ phần 1 đến bây giờ không
797,phim càng ngày càng bậy ko ra gì
798,Nhìn như bọn chuyển giới
799,"hay quá , rất thích bình trọng"
800,Sao k xem dk ad
801,Đọan phút 37 em áo vàng hát địêu kinh khủng khiếp luôn 😅😅áo trắng hát đá điệu rồi tới áo vàng còn khủng khiếp hơn 😂😂 dã man thật nghe dợn dợn lun mà .
802,điên vừa
803,Càng ngày càng lố ko có gì hay ho
804,Hài nhạt quá
805,14:38  vú bé tý
806,phim như lol
807,Cũng vui mà quý zị kêke
808,Sao mờ thế
809,Xem hài bắc kỳ thì xem dog ẳng còn hơn.
810,quảng cáo nhiều vcl
811,Cho tôi hỏi đây là phim hài hay chương trình quảng cáo vậy ??? Nhiều hình ảnh phản cảm quá :( !!!
812,Noam nhi.
813,Toàn con em
814,vếu Mượt có hình xăm nhé
815,Khá là nhạt
816,Chang ra cai gi
817,Hài tết hay quá
818,14:38 điểm danh
819,hay mà
820,Thằng không có tiền thường nói lắm
821,mấy thằng khốn nạn có gì mà xem.
822,hài quá
823,Show bizz là phải vỗ mông😂😂
824,Phim ko hay mà bài thơ hay hơn nhiều...
825,Nhiễu thế
826,Vãi cả vo mong
827,Nghệ thuật mạt vận
828,"Phận làm con gái, chưa bao giờ được 10 like"
829,Học xong chửa chết
830,Thằng  hiếu đéo  có tố  chất  tý  nào
831,"Hài bắc giờ nhảm quá, chẳng khác gì 1 chương trình quảng cáo cả. Coi từ đầu đến cuối chẳng thấy chỗ nào vui cả, toàn đưa gái ra lm trò lố."
832,https://www.youtube.com/watch?v=4MVDPCIgpEk
833,Ai hóng điểm danh phát
834,Táo quân còn hay hơn
835,Sàm vl...
836,14:39 k mặc áo lót
837,Dạo này hài băc chán thật
838,14:38 nhé ae 😂😂😂
839,lai một nụ cười
840,1:01:46 ai thấy Trường Giang không
841,Xem ức chế vãi lồn
842,Hay wa
843,Có a Bình Trọng với a Chiến thắng là thích xem
844,Phim chả ra cái gì. Phí thời gian. Xem 1 tập không bao giờ xem lại khoe da thịt là nhiều
845,7qq  mở i
846,😂😂
847,Xem thằng cha tích mất dạy quá. Tào lao.
848,"Chả có gì cả, cho mấy cái tình huống gái gú hở vếu hở mông vào tăng sự hấp dẫn cho bộ phim càng ngày càng xàm, cái dân muốn xem là chân thật mộc mạc thời ngày xưa các ngài ạ"
849,Nhạt nhẽo
850,Nhạt ...
851,"Không bao giờ thèm xem những film kiểu này nữa. Tại sao Trung Hiếu đóng toàn những bộ phim nhạt nhẽo, vô hồn, vô nghĩa như vậy mà được NSND nhỉ."
852,thich  mỗi cái vỗ mông
853,14:35 cho ai cần
854,http://akie.vn?aff=0376907530
855,Khoe gai
856,Năm nay ko có hài Thăng Long
857,"MẤT CHẤT"" VẬY THÔI ĐÉO NÓI NHIỀU"
858,Ước gì năm nay con được về nhà ăn tết với bố mẹ 😔😔😔🙁🙁😥😭😭
859,Ôtô tải
860,"sao không thấy xuân bắc , tự long , công lí , vân dung , quang thắng đóng hài nhỉ . xem mấy hài nsyf nhảm vc"
861,nghiệp dư quá
862,Video chất lừ chất
863,"cụ cóc vẩu hết vẩu rồi, chỉ chân ngắn mãi là ngắn chân"
864,qua hay
865,Nhìn mượt cứ gọi là mượt
866,nỏ thần =)))
867,Nhảm vãi
868,"#Lại sắp hết năm 2018 rồi chúc mọi người sang năm 2019 an khang thịnh vượng 😇😇😇😇
💮💮💮💮
꧁๖ۣۜHànhཽ ๖ۣۜCཽhannel꧂ 




♥‿♥  
✡ ✯ ٭ 


꧁๖ۣۜHànhཽ ๖ۣۜCཽhannel꧂"
869,35:45 châm biếm vcl=))
870,"hai nham vai ...... noi dung vo van , dam duc"
871,https://youtu.be/Cr92pRTuBkQ
872,"Hài của chú Xuân Hinh đóng đâu rồi, giờ toàn mấy cái hài rẻ tiền, đóng thì ít khoe vú quảng cáo thì nhiều ! Bảo sao các nghệ sĩ này không bao giờ lên được nghệ sĩ hạng A"
873,Hở hang quá
874,hay nhỉ
875,Trong em oi e la dao dien  pha hay e lâi nhap vai
876,Bôi xấu hiệp sỹ.
877,Fan ông Tích thôi.
878,Nhạc em mới up lại https://youtu.be/30nvLyQ6gPQ
879,Chờ mãi
880,Hai thi co lien quan gi den tet
881,Con bé áo trắng vs áo vàng Phút 37 ai tin nghĩ ở ngòai đời thật là gái ngành 100% điểm danh . Theo kinh nghiệm chăn tuyển nhân viên nhiều năm của tôi thì chính xác nhỏ áo vàng vs áo trắng 100% ở ngoài là gái ngành thật sự . Ko thể chượt ko thể sai . Đảm bảo luôn cho anh em . 99% tôi ăn cứt cả xã hội chủ nghĩa Việt Nam .
882,chèm    nhiều quảng cáo quá
883,Mỗi năm 1 em mượt :))
884,Giờ các cty có sản phẩm đầu tư vốn vào chương trình nhiều quá làm mất hay của hài đại gia chân đất rùi. Xem xong mà thấy chán quá. Đúng là thời buổi hiện đại chả ra gì
885,Hai nham vl
886,"Hay.....phản ánh thực trạng tệ nạn xã hội,,  các bạn xem thấy đúng ko ạ?"
887,"ai thấy hài tết càng ngày càng nhảm thì cho xin  ý kiến đi!!  Toàn mang gái ra gây sự tò mò chứ có gì hay đâu? Lạm dụng mấy cô gái chân dài mang danh hotgirl nhưng lại không hề biết diễn xuất khiến  hài tết trở nên lố lăng, kệch cỡm và rẻ tiền.......... CHO EM XIN LIKE, CHƯA BAO GIỜ DC 10 LIKE"
888,3:15 các bác để ý cái xe của 2 thằng cướp
889,bác ơi cháu còn trẻ trâu
890,"😂Ra đường sợ nhất công nông
Về nàng sợ nhất mượt k mặc gì =))😂"
891,Xem hài bh toàn gái nghành
892,"hài nhảm ,chán"
893,"Đại gia chân đất phải nói là có những đoạn rất hay tôi rất thích, nhưng cũng lại có những đoạn quá lố bịch, nhảm nhí vô cùng, thất vọng."
894,buồn cười vãi đái con chó
895,"Loạn hết rồi hài cho ai xem không biết. Hình ảnh phản cảm cảm, chẳng thấy cái gì là mang đặc trưng mang sắc đẹp văn hóa Tết Cổ truyền, lố lăng chứ k phải hài Tết... Trẻ con cũng thích xem hài chứ, nhưng những hình ảnh như vậy thì bảo sao trẻ k dậy thì sớm. Cạn kiệt ý tưởng rồi thì dẹp đi. Phần 1 2đâu tệ thế này."
896,Lũ j đâu hẹn j ko nỏictieng nỏi
897,Tuyệt vời
898,Gần tết r
899,Phim cười rụng cả rốn luôn 😃😃😃😃😃😃😃😃😃
900,Lôm côm ba lăng nhăng
901,Nhân  vật  tích  ko có  j mới  vài  câu nói  quên thuộc.
902,Năm nay Mượt mượt hơn mấy năm trc. Kkk
903,Sao thay nham nhi vay
904,Ko biết hài hay phim
905,"Xem được mỗi mùa 1 vì có Chiến Thắng hài, càng về sau càng thấy tục tĩu và nhảm. Tốt hơn là nên chau truốt kịch bản và nội dung, vài năm ra 1 tập nhưng chất lượng cũng đáng."
906,"Hài max nhảm, khắm khắm"
907,lom com ba lang nhang
908,Mình ko thích vai Mượt
909,hay
910,Em mượt năm ngoái diễn hay hơn :)))
911,Cụ chất quá
912,hay
913,hay
914,chưa cười đc đoạn nào như phim thôi
915,hay
916,hay  cmt dạo
917,"Hai qua nham nhi , cha giai quyet duoc gi , gai thi an mac qua ho"
918,phim hơi nhạt
919,"Ai thấy ca sĩ Huy Cường giống Ca sĩ Lệ Rơi không?
Thấy giống thì Like 😂😁🇻🇳🇻🇳🇻🇳"
920,Mượt cũ đâu r
921,Quá hay
922,Tập này bị lỗi rồi
923,Phim hài giờ nát quá nhờ :))) toàn vú với mông để câu view =)
924,Tao cực ghét cái thằng Trung Hiếu oai tao mà gặp đường chỉ ăn đòn
925,Buồn cười vãi đái
926,Vo nhi dau ma che trong lam viet
927,Quang tèo càng già càng mất tư cách
928,Hieu la tk  khon vat
929,Hay quá: https://www.youtube.com/watch?v=G2loTultqBs
930,"Phim này là phim cấp 3 à.Chả hiểu sao làm cái phim rẻ tiền kiểu này.Nội dung thi vớ vẩn,toàn đưa mấy con khoe vếu vào để câu view"
931,Ca nhac
932,Fan siêu nhân nhưng tích phim hài điểm danh nhé !
933,"Cái đm cái thằng trung hiểu hl,đm hài hay hài lồn hài vú.hài của thằng này đồi trị,hài nào của thằng hãm lôn này làm đièu mang tính chất nhãm nhé"
934,Không cười nổi 😐😐😐
935,Xem mãi không chán nhỉ
936,Buc quang cáo qua
937,Clgt ?
938,"Phim hài vn h ngày cà thoái hóa, đa số toàn gt hotgirl, ng mẫu chan dai"
939,Hay
940,Xàm lồn
941,Tích vô tích sự
942,hoi  TU cung  thy san
943,"Diễn viên đóng mượt, nhìn chả mượt tí nào"
944,xam
945,Gái xinh vl
946,Vai van tich. Qua deu
947,Tết rồi
948,"quá dung tục , báo cáo video đi mọi người"
949,Toan thang ao tuong
950,Bây giờ như thế này nhá các ace cày cho nó lên tốp yutube nhé
951,"Phimđéo gì mới mở đầu thấy vô lý rồi, đang rượt cướp đứng lại nói chuyeenj1 hồi mà rượt kịp tụi cướp. Hài cũng phải có cái để người ta tin chút chứ. Phim tào lao quá."
952,Evrybody
953,Hài hay và buồn cười quá
954,xuanhinh
955,(😈51 phút 58😯vs😯14 phút 37💨)  hở núm vú đen xì luôn nha ae . Hài vài năm trở lại đây xem chả khác gì phim khiêu dâm cả xem thích thật đấy hihi tòan gái ngon lên phim hài dc cả nước biết đến và gọi là gái hiiiii nhất mấy e nun nhớ hihi tua cho tốc độ nó chậm lại mới thấy nha ae . Chứ xem bt nhanh quá ko thấy lại cmt chửi tôi đau cả đầu cmt cho các ông xem lại còn bị chửi vì chính các ông kém ko biết tua chậm  mà xem nên ko thấy lại còn cmt chửi này nọ. Trên phim trả nhẽ ng ta lại cho hở hẳn vs lại lộ rõ cho các ông xem ... tự phải biết tua chậm tốc độ phát lại mà xem chứ....😩😩
956,Iphone 4s plus
957,Gvpopp
958,"Mới dạo phim đã dính sạn rồi.đoạn đuổi nhau thì quay con wave rsx 2013 rồi lại đi wave s110 đánh võng sau thì lại thấy phi con wave rsx 2013 rồi
Ai thấy đúng like kênh của e phát.:))"
959,Cô Mượt năm ngoái khác cô Mượt năm nay kk
960,Mịa sexxy hơn cả em
961,Địt mẹ hài vú vếu à...đm mất chất hài.
962,Giờ hài quẳng cáo  thịt nầm thịt mông
963,Hay
964,beat dai gia chan dat
965,Tre trau vai
966,Nhàm
967,Lôm côm
968,NHẠT
969,Ai đang xem like phát
970,Sao ko có gì buồn cười
971,"Nhảm nhí, lố bịch"
972,Con gái xưa và nay
973,Thang nao
974,"Nôm côm, ba lăng nhăng"
975,"Chào tất cả anh chị . 
Có anh chị em nào nợ nhiều không
Hãy kb zalo với chú này 0394143523 số cực chuẩn 
Ăn 100% : (  tôi đã từng là một thằng chơi ăn chơi , nợ chồng chất)
May gặp được chú ấy 
Anh chị em nào đang khó khăn cứ kb zalo 0394143523 để vào bờ 
Xin cảm ơn."
976,dtt
977,Đạo diễn như c
978,Cái con mẹ chúg mày có voi đòi tiên rỗi việc lắm chuyện đã sem coòn sủa bậy đúg là như cccbbố......
979,3:55 phd
980,Hài thăng long còn hay hơn
981,Hơi nhạt nhẽo
982,phim bác kỳ xàm vkl
983,Diễn viên xấu quá
984,http://thichxemngay.top/shared/31d9cbdec42990f980bc03345da0452c
985,https://youtu.be/7iVl523GeBg
986,"Hài như cc,nhảm vãi"
987,Hihi
988,Tết xa nhà giờ thì sắp Tết chờ mỗi món ăn tinh thần này thôi cảm thấy hạnh phúc vl
989,haaaa buồn cười quá
990,CÁi em giả mượt xinh gê
991,"hài như cái máu lồn , khác gì cho tao xem sex :)) nhạt vcl"
992,Nhìn chỉ muốn liễm lồn con quần bò ngắn đóng bị cướp ấy thoi
993,A
994,Kghk
995,Sao e Mượt mỗi năm lại thay diễn viên à
996,Caulacboduonogsinhvocuong
997,Thật sự bây giờ rất ghét hài kịch việt nam. Sex xy mất chất quá.
998,Chuc mung da len top 1
999,Hay
1000,"Nhờ bà con chia sẻ mạnh lên để tên Lữ Minh Thái phải nghỉ việc, hết hống hách."
1001,"Một chú công an đi tuần thì gặp một thằng bé đang ngồi nặn tượng ven đường rất say sưa. Chú công an mới nổi tính tò mò lại gần hỏi:
- Ê cu! Mày làm gì đấy?
- Dạ em nặn anh công an ạ!
- Ừ, tốt! Nhưng mày nặn bằng gì thế?
- Dạ em nặn bằng cứt ạ!
- Á, thằng này láo! Tao cấm mày nặn chú công an bằng cứt nhá! Tao đi một vòng quay lại mà mày còn tiếp tục là tao bắt mày lên đồn đấy.
Lát sau, chú công an quay lại vẫn thấy thằng chọi kia miệt mài nặn nặn.
- Ê thằng kia! Lúc nãy tao bảo thế nào? Sao mày vẫn ngồi đây nặn?
- Dạ, em có nặn anh công an nữa đâu? Em nặn chú bộ đội rồi.
- Ừ, tốt! Thế mày nặn chú bộ đội bằng gì?
- Dạ, em nặn chú bộ đội bằng đất sét ạ!
- Ừ, nhưng sao mày không nặn chú bộ đội bằng cứt?
- Dạ không được đâu anh! Nếu nặn bằng cứt thì lại ra anh công an ạ."
1002,"Lái xe nói năng rõ ràng, hiểu luật, tóm lại là chuẩn"
1003,"Hoan nghênh anh tài xế rất đàng hoàng, lịch sự pháp luật ở đâu trời ơi, pháp luật đâu rồi...trời ơi đất hỡi pháp luật đâu"
1004,Bị về đồn thì khổ chú rồi...tôi thích những người rành về luật để trị bọn làm sai luật
1005,"Đừng sỹ diện , một câu xin lỗi , xin lỗi rồi bỏ đi các anh cảnh sát , người dân bây giờ ai cũng biết luật"
1006,"Đm biết bao nhiu thằng CA lại bắt nạt một người dân đúng là mấy CA hùa như chó..
Ai thấy đúng cho 1like góp ý cmt"
1007,Giết người ko ở tù là t tìm bọn áo xanh áo vàng trước tiên
1008,A công dân nói chuyện rất là logic thuyết phục..ủng hộ a
1009,Công An ỷ đông hiếp yếu
1010,K biết khúc cuối clip anh taxi có bị s k nữa?  Thấy lấy đông khống chế một người dân vô tội v có đáng k?  Bây giờ đúng quá r sao cãi lại nên mới mời về trụ sở nó cả :))
1011,"Sao pháp luật cứ giết người hoài vậy 
Ai thấy đúng cmt dưới nghe@"
1012,18:35 Chú áo Xanh đơ miệng! :))
1013,Chó ăn cứt... đè dân bỏ tiền mua chức vụ... dkm thấy mà ghét.
1014,"CA áo xanh gặp ah tài xế biết luật,đơ miệng hết rồi kkk"
1015,"Chết con mẹ đồng chí rồi, gặp phải a biết luật 😂😂"
1016,Cho e bít bọn này còn ik làm hông ad 🤔
1017,"Tụi bây làm sao thì làm , còn để cho dân đen tụi tui sống để đi kiếm cháo sống cho qua ngày ."
1018,"Nhìn mấy ông này hài vc :))
Anh tài xế nói luật nhiều quá sợ mình còn ko rõ luật mà lại còn có ng khác sợ ko dám làm gì :))"
1019,1 lũ ca cải lí luật k lại ng ta. Kéo cho đông vào cậy quyền bắt bớ ng ta. Đất nuoc tuyển chọn những ng con vì nuoc quên than vì dân phục vụ là đât ak?
1020,"nhìn mấy thằng công an chỉ biết ăn hiếp dân thôi , nhìn kĩ giống trâu, nhìn lâu giống chó"
1021,a noi không lại lũ cướp ngày này đâu nó đt về báo với xếp nó .lật trắng thành đen
1022,công an ko quen ai chỉ quen tiền tkoi món ăn ưa thích là cứt đi đâu nko mang cứt mọi ng
1023,con cháu tao sau này. tao cấm ko cho nó thi vào( TRAI) ngành này. ô nhục quá.
1024,Ngưỡng mộ mấy cái bụng bự và cái mặt nhiều mỡ của các ông trời c.s
1025,"tài xế này ko bình thuờng,là người am hiểu pháp luật.ăn nói trơn chu đâu ra đấy.khen"
1026,Anh nói quá hay cho anh 1 tim 💙💙💙
1027,"bọn này ác với dân hèn với giặc 
ra biển tàu trung quốc nó rượt cho đái ra quần vẫn ko thấy nhục 😏😏"
1028,So nhất là bu cả lũ lại rồi bênh vực và tìm mọi cách bao che cái sai của nhau. Dây mới là chứng bệnh nặng hơn ung thư.
1029,Kéo cả bầy học luật ra mà ko làm dc gì
1030,A Tài xê này cứng quá...like...chứ như em chắc dạ..và dạ...và cuối cùng là chỉa tiền ra để được an toàn..huhu
1031,Dm cứ cho vi phạm quy định jk nhiêu đó mà giải quyết ko dc kéo 1 đống tới làm cmm j
1032,Đuối lý rồi quay qua hành hung người khác!
1033,"Chất quá anh oi  
Nguyên đám c.a ko bít luật ... thua một tài xế"
1034,Nó biết bắt người thôi chứ nó đâu biết nghi dinh 46 là gì đâu ma noi với no
1035,"vi phạm luật giao thông là vi phạm dân sự . nó bắt lỗi không được thì tìm cớ kéo về phường giải quyết . về phường là như cá nằm trên thớt . một là nó đàn áp thẳng tay , hai là hù dọa trấn áp tinh thần để đi đến im miệng cho qua chuyện ... nghiệp vụ gì không giỏi chứ trấn áp là hay nhất .
Thiết nghĩ nên có tổ chức hay đoàn luật sư để hỗ trợ trong trường hợp này , vì vi phạm giao thông là vi phạm dân sự mà anh lôi tôi về phường là liên quan rất nhiều vấn đề pháp lý nên cần thiết phải có qui trình , người chứng kiến hay luật sư mới rõ ràng minh bạch . và quyền lợi người dân được đảm bảo ...
cần xác định việc đưa về phường để làm gì ? nếu về phường mà cá nhân tôi không vi phạm thì khoảng thời gian hao phí kia ai sẽ đền bù thiệt hại cho tôi . và việc về phường là mời , bắt về hay dẫn giải về phường trong vụ việc có trách nhiệm liên đới . chứ không phải đụng chuyện gì làm sai , làm nhằng , tiêu cực là lôi dân lên phường ( nếu mời : dân có quyền không đi . )
Qua sự việc ta thấy rõ quyền lợi hợp pháp của người dân được hiến pháp qui định chưa được thực hiện một cách rõ ràng , minh bạch ... vẫn còn sự mập mờ , thiếu minh bạch cho người dân nhỉ !"
1036,"Bọn chó má CA cc. Thiếu cơm thiếu gạo là cầm còi ra đường tò te kiếm tiền
Chặn ng k hiểu luật là có tiền. Chặn a đây hiểu luật thì lầm cmnr"
1037,Toàn loại được toàn dân tin tưởng thì lại là bọn vô dụng ăn cháo đa bat
1038,"Mãi dâm, mãi lộ cùng một phường xấu xa, thật đáng nhục.."
1039,bận đc bộ đồ này chắc tăng HP hay sao mà og Ca nào mặt cũng ngông nghênh nhỉ
1040,"Công an đối đáp về Luật không lại a taxi . rồi điện thoại cả tiểu đoàn công an lại , và cũng không làm đúng luật. rồi bài kế trấn áp anh taxi.. 1 bộ phận nhỏ làm ảnh hưởng xấu đến hình ảnh chiến sĩ công an Việt Nam.."
1041,TÍNH KIẾM CHÚT CHÁO ĂN SÁNG MÀ BÁC TÀI LÀM KHÓ CSGT QUÁ HAHA. KÊU 1 BẦY LẠI THẤY MÀ SỢ HÀ...♥️♥️
1042,Rỏ ràng ngưòi ta đậu xe không sai tại sao cs laij có thể làm như vậy cs ngày càng ngang ngươc va vô đạo đức
1043,Những ah công an không làm theo luật pháp roi đánh người dân là không đúng
1044,Dao này công an nam sai nhiêu quá thấy sai thì cho người ta đi mẹ nó đi bọn công an này nó đeo hiểu luật trắc bọn này nó mua bằng đây mà xin các xếp bảo lại Ninh của các sếp
1045,Mấy anh cong an không giải thích được   những câu hỏi về pháp luật của người dân cuối cùng đt đến rất đông để áp chế người dân luôn.chao ôi xã hội thối nát...
1046,Mấy con chó xanh này cũng cho ra đường cắn bậy.. trói cổ nó đuổi cut khỏi ngành đi..lũ suc vật..thằng công an và chú bộ đội khác nhau ở đấy
1047,Mình làm về moto vlog anh em bều không phiền có thể qua mình ủng hộ nhé
1048,"Mấy thằng công an tào lao biết con cặc gì nói, chẳng qua a tài xế quá cứng và hiểu luật nói đéo lại a ta nên làm tới cho đỡ quê"
1049,Bọn này lạm quyền quá trời. Ức hiếp người dân quen rồi
1050,Mấy ô công an việt nam ô nào cũng bụng phệ ra nhìn chán :)))
1051,Công an luật éo hiểu bản cấm có hiệu luật từ sao bản
1052,Làm việc với dân mà cách nói chuyện dáng đứng không nghiêm túc một tý nào cả
1053,Phút thứ 15... haha ví như tụi nó là chó... cột dây với thả dây... tài xế đỉnh của đỉnh
1054,"Ở ngoài đường là muốn chết với bọn đó rồi chứ đi theo về phường là kể như kg có đường về, phúc cuối anh đã bị đánh ước gì có ai quay líp khúc anh bị đánh đưa lên mạng cho mọi người cùng biết thấy tội anh tài xế quá"
1055,"Về mấy em ơi, đừng đấu lý nữa, mấy e đã gặp chúa đảo rồi đó , coi chừng 😂😂😂"
1056,Thằng nào bắt thì thằng đó xử lý  còn thằng còn lại có chứng kiến ko mà biết gì nói
1057,"Chúng mày có biết k chỗ tui có ông thiếu chiều cao muốn vô ngành công an phải mất trăm triệu
Chắc bằng cấp điểm thi nó cũng mua dc nhỉ"
1058,"CA sợ camera, nói ra bị dân bắt bẻ, yếu kém quá... Làm luật mà yếu,"
1059,cho bọn chó xanh nay nghỉ khỏi Đi lam luôn đi
1060,Anh tx đó rõ ràng không sai thật. công an làm như thế tôi k thể chấp nhận được
1061,Công an đứng chống nạnh cai nhau vs dân như mấy bà bán cá
1062,bác tài quá tuyệt . tiết gì 1 like
1063,30:00 tội nghiệp a ấy 😞
1064,"Thang cong an,  bat va chao lam viet voi nguoi tai xue, dau roi chon nhu con cho , xap bi dap dau qua vay"
1065,Cơ động kg làm ăn vô lí quá
